Company,Address_Line_1,City,State,ZipCode,Zip4,County_Code,Area_Code,IDCode,Location_Employee_Size_Code,Location_Sales_Volume_Code,Primary_SIC_Code,SIC6_Descriptions,Primary_NAICS_Code,NAICS8_Descriptions,SIC_Code,SIC6_Descriptions_SIC,SIC_Code_1,SIC6_Descriptions_SIC1,SIC_Code_2,SIC6_Descriptions_SIC2,SIC_Code_3,SIC6_Descriptions_SIC3,SIC_Code_4,SIC6_Descriptions_SIC4,Yellow_Page_Code,Employee_Size_Location,Sales_Volume_Location,Business_Status_Code,Industry_Specific_First_Byte,Year_Established,Office_Size_Code,Company_Holding_Status,ABI,Subsidiary_Number,Parent_Number,Parent_Actual_Employee_Size,Parent_Actual_Sales_Volume,Parent_Employee_Size_Code,Parent_Sales_Volume_Code,Site_Number,Address_Type_Indicator,Population_Code,Census_Tract,Census_Block,Latitude,Longitude,Match_Code,CBSA_Code,CBSA_Level,CSA_Code,FIPS_Code,archive_version_year
CHILDRENS ANESTHESIOLOGY ASSOC,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,4317,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,M,,,,636868234,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,5400,101,215,1,A,A,804907,NURSES-PRACTITIONERS,62139923,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636872749,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,51 N 39TH ST # 4,PHILADELPHIA,PA,19104,2640,101,215,1,A,A,804920,PHYSICIANS ASSISTANTS,62139932,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636875767,,,,,,,636851826,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2015
,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,5400,101,215,1,A,A,804920,PHYSICIANS ASSISTANTS,62139932,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636878043,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,5400,101,215,1,A,A,804907,NURSES-PRACTITIONERS,62139923,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636882078,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,5400,101,215,1,A,A,804907,NURSES-PRACTITIONERS,62139923,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636885451,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,324 S 34TH ST # 5,PHILADELPHIA,PA,19104,4304,101,215,1,A,A,804907,NURSES-PRACTITIONERS,62139923,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636886137,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,5400,101,215,1,A,A,804907,NURSES-PRACTITIONERS,62139923,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636886970,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,5400,101,215,1,A,A,804907,NURSES-PRACTITIONERS,62139923,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636887796,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,324 S 34TH ST # 5,PHILADELPHIA,PA,19104,4304,101,215,1,A,A,804907,NURSES-PRACTITIONERS,62139923,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636888067,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,3615 CHESTNUT ST # 141,PHILADELPHIA,PA,19104,2612,101,215,1,A,A,804201,OPTOMETRISTS OD,62132003,OFFICES OF OPTOMETRISTS,,,,,,,,,,,,3,339,9,,,,,636890089,,,,,,,,N,9,008900,3,039.954830,-075.194720,P,37980,2,428,42101,2015
,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,5400,101,215,1,A,A,804907,NURSES-PRACTITIONERS,62139923,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,,,,,,,,,,,,1,81,9,,,,,636892762,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
STARBUCKS,3800 LOCUST WALK,PHILADELPHIA,PA,19104,6139,101,215,2,C,B,581228,COFFEE SHOPS,72251505,SNACK & NONALCOHOLIC BEVERAGE BARS,,,,,,,,,,,,12,561,2,4,,,,637499575,,303651459,2000,,I,,396820151,,9,008800,2,039.952447,-075.199420,0,37980,2,428,42101,2015
STARBUCKS,32ND & MARKET ST,PHILADELPHIA,PA,19104,,101,215,2,C,B,581228,COFFEE SHOPS,72251505,SNACK & NONALCOHOLIC BEVERAGE BARS,,,,,,,,,,,,16,748,2,4,,,,637502667,,303651459,2000,,I,,,,9,009100,3,039.957124,-075.199550,X,37980,2,428,42101,2015
PECO,3020 MARKET ST # 3,PHILADELPHIA,PA,19104,2999,101,215,2,A,,999977,NONCLASSIFIED ESTABLISHMENTS,99999004,UNCLASSIFIED ESTABLISHMENTS,,,,,,,,,,,,3,,9,,,,,638540526,,,,,,,,,9,008900,1,039.954580,-075.184800,P,37980,2,428,42101,2015
,3400 SPRUCE ST,PHILADELPHIA,PA,19104,4238,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,638542316,,,,,,,,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2015
,34TH & WALNUT STS,PHILADELPHIA,PA,19104,,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,,,,3,526,9,F,,,,638693598,,,,,,,,,9,009100,3,039.957124,-075.199550,X,37980,2,428,42101,2015
CHILDRENS SURGICAL ASSOC,324 S 34TH ST # 3,PHILADELPHIA,PA,19104,4344,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,R,,,,638694182,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
CHILDREN HOSPITAL,3615 CIVIC CENTER BLVD # 2,PHILADELPHIA,PA,19104,4318,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,R,,,,638694190,,,,,,,,,9,007600,1,039.946774,-075.196322,0,37980,2,428,42101,2015
CHILDRENS ANESTHESIOLOGY ASSOC,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,4317,101,267,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,T,,,,638694257,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
CHILDREN'S HOSPITAL OF PHILA,324 S 34TH ST # 5NW26,PHILADELPHIA,PA,19104,4304,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,638694307,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
CHILDRENS HOSPITAL-PHLDLPH,3401 CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,4319,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,T,,,,638694430,,,,,,,400558028,,9,007600,1,039.947849,-075.193965,0,37980,2,428,42101,2015
,324 S 34TH ST,PHILADELPHIA,PA,19104,4304,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,638694489,,,,,,,401602496,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,3615 CIVIC CENTER BLVD # 502,PHILADELPHIA,PA,19104,4318,101,215,1,A,A,804922,PSYCHOLOGISTS,62139936,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS,999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,,,,1,81,9,,,,,638694513,,,,,,,,,9,007600,1,039.946774,-075.196322,0,37980,2,428,42101,2015
,3400 CIVIC CENTER BLVD # 5,PHILADELPHIA,PA,19104,5168,101,215,1,B,,873104,LABORATORIES,54171126,RESEARCH & DEVELOPMENT IN BIOTECHNOLOGY,,,,,,,,,,,,5,,9,,,,,638694604,,,,,,,,,9,007600,1,039.947940,-075.193060,P,37980,2,428,42101,2015
,324 S 34TH ST,PHILADELPHIA,PA,19104,4304,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,B,,,,638694901,,,,,,,,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,3615 CIVIC CENTER BLVD # 316,PHILADELPHIA,PA,19104,4318,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,638695098,,,,,,,,,9,007600,1,039.946774,-075.196322,0,37980,2,428,42101,2015
CHILDRENS HOSPITAL,3400 CIVIC CENTER BLVD # 2115,PHILADELPHIA,PA,19104,5127,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,2,,,,638695221,,,,,,,422185748,,9,007600,1,039.947940,-075.193060,P,37980,2,428,42101,2015
CHILDREN HOSPITAL-PHILADELPHIA,3615 CIVIC CENTER BLVD # 1007A,PHILADELPHIA,PA,19104,4318,101,215,1,A,B,807104,LABORATORIES-CLINICAL,62151105,MEDICAL LABORATORIES,801101,PHYSICIANS & SURGEONS,,,,,,,,,,3,551,9,,,,,638695239,,,,,,,517028924,,9,007600,1,039.946774,-075.196322,0,37980,2,428,42101,2015
,324 S 34TH ST,PHILADELPHIA,PA,19104,4304,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,T,,,,638695338,,,,,,,,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
CHILDREN'S HOSPITAL OF PA,324 S 34TH ST # 5,PHILADELPHIA,PA,19104,4304,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),596104,E-COMMERCE,,,,,,,,,,3,526,9,,,,,638695346,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,3400 CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,5127,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,7,,,,638695387,,,,,,,638695387,,9,007600,1,039.947940,-075.193060,P,37980,2,428,42101,2015
HOSPITAL OF UNIVERSITY OF PA,3400 SPRUCE ST # 4,PHILADELPHIA,PA,19104,4274,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,638695718,,,,,,,811711134,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2015
,34TH & WALNUT STS,PHILADELPHIA,PA,19104,,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,Q,,,,638699322,,,,,,,,,9,009100,3,039.957124,-075.199550,X,37980,2,428,42101,2015
,34TH & WALNUT STS,PHILADELPHIA,PA,19104,,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,Y,,,,638703116,,,,,,,,,9,009100,3,039.957124,-075.199550,X,37980,2,428,42101,2015
,429 S 45TH ST,PHILADELPHIA,PA,19104,3910,101,215,1,A,C,152299,GENERAL CONTRACTORS-RESIDENTIAL BLDGS,23611836,RESIDENTIAL REMODELERS,,,,,,,,,,,,2,1190,9,,,,,639269869,,,,,,,,,9,008700,4,039.950550,-075.212370,P,37980,2,428,42101,2015
JAGUAR LUXURY BEAUTY STORE,4235 LANCASTER AVE,PHILADELPHIA,PA,19104,1470,101,215,2,A,A,723112,HEALTH & BEAUTY CONSULTANTS,81211209,BEAUTY SALONS,,,,,,,,,,,07214,2,96,9,,,,,639710565,,,,,,,,,9,010700,6,039.967440,-075.208760,P,37980,2,428,42101,2015
BEN & JERRY'S,30TH STREET STATION,PHILADELPHIA,PA,19104,,101,215,2,B,A,581203,ICE CREAM PARLORS,72251512,SNACK & NONALCOHOLIC BEVERAGE BARS,541103,CONVENIENCE STORES,581212,CATERERS,581239,CATERING-KOSHER,202498,ICE CREAM & FROZEN DESSERTS (MFRS),,,,7,327,2,E,,,,642558381,109123208,007522097,100,,F,,,,9,009100,3,039.957124,-075.199550,X,37980,2,428,42101,2015
DOMUS,3411 CHESTNUT ST OFC,PHILADELPHIA,PA,19104,5590,101,215,2,C,D,651303,APARTMENTS,53111002,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,,,,,,,,,,,02906,14,3389,2,,,,,643452006,,309024594,200,,F,,,,9,008900,3,039.954458,-075.191904,0,37980,2,428,42101,2015
EL TORO LOUNGE,898 BELMONT AVE,PHILADELPHIA,PA,19104,1302,101,215,2,B,A,581301,BARS,72241001,DRINKING PLACES ALCOHOLIC BEVERAGES,,,,,,,,,,,84100,7,370,9,,,,,643596125,,,,,,,402755627,,9,010500,2,039.969500,-075.211820,P,37980,2,428,42101,2015
POTBELLY SANDWICH SHOP,1 CONVENTION AVE,PHILADELPHIA,PA,19104,4311,101,215,2,D,C,581219,SANDWICHES,72251303,LIMITED-SERVICE RESTAURANTS,581208,RESTAURANTS,581209,DELICATESSENS,581251,RESTAURANTS-FAMILY DINING,,,,,,30,1403,2,,,,,643717978,435635559,224249342,100,,F,,,,9,007600,1,039.948767,-075.192890,0,37980,2,428,42101,2015
VERSA CAPITAL MANAGEMENT LLC,2929 ARCH ST # 1650,PHILADELPHIA,PA,19104,2864,101,215,2,D,,679998,VENTURE CAPITAL COMPANIES,52391003,MISCELLANEOUS INTERMEDIATION,,,,,,,,,,,,30,,1,,,,,644274003,,644274003,30,,D,,,,9,012400,1,039.957048,-075.181466,0,37980,2,428,42101,2015
CHILDRENS ANESTHESIOLOGY ASSOC,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,4317,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,7,,,,644949810,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
CHILDRENS ANESTHESIOLOGY ASSOC,324 S 34TH ST # 10,PHILADELPHIA,PA,19104,4317,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,8,,,,644965360,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
ABRAMSON CANCER CTR,3400 CIVIC CENTER BLVD # 600W,PHILADELPHIA,PA,19104,5128,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,B,,,,644982316,,,,,,,581304649,,9,007600,1,039.947940,-075.193060,P,37980,2,428,42101,2015
PENN PRESBYTERIAN MEDICAL CTR,51 N 39TH ST,PHILADELPHIA,PA,19104,2692,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,P,,,,644991465,,,,,,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2015
,324 S 34TH ST # 3,PHILADELPHIA,PA,19104,4304,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,T,,,,645008483,,,,,,,470083205,,9,007600,1,039.949332,-075.192886,0,37980,2,428,42101,2015
,3400 CIVIC CENTER BLVD # 600W,PHILADELPHIA,PA,19104,5128,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,645033150,,,,,,,581304649,,9,007600,1,039.947940,-075.193060,P,37980,2,428,42101,2015
MENTORTECH VENTURES,3624 MARKET ST # 300,PHILADELPHIA,PA,19104,2614,101,215,2,B,E,679998,VENTURE CAPITAL COMPANIES,52391003,MISCELLANEOUS INTERMEDIATION,,,,,,,,,,,,9,7092,9,,,,,645171349,,,,,,,,,9,008900,3,039.956110,-075.194640,P,37980,2,428,42101,2015
QUAKER BIO VENTURES,2929 ARCH ST # 1650,PHILADELPHIA,PA,19104,2864,101,215,2,C,C,738922,BUSINESS BROKERS,56149901,ALL OTHER BUSINESS SUPPORT SERVICES,,,,,,,,,,,11802,10,1371,9,,2003,,,645246141,,,,,,,,,9,012400,1,039.957048,-075.181466,0,37980,2,428,42101,2015
SC CAPITAL PARTNERS,3701 MARKET ST # 3,PHILADELPHIA,PA,19104,5505,101,215,2,B,E,679998,VENTURE CAPITAL COMPANIES,52391003,MISCELLANEOUS INTERMEDIATION,,,,,,,,,,,,9,7092,9,,1963,,,645248311,,,,,,,611715350,,9,009100,3,039.956570,-075.196090,P,37980,2,428,42101,2015
,3001 WALNUT ST,PHILADELPHIA,PA,19104,3414,101,215,1,A,A,872101,ACCOUNTANTS,54121101,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,,,,,,,,,,,00008,2,212,9,,,,,645303355,,,,,,,,,9,008900,1,039.951960,-075.184299,0,37980,2,428,42101,2015
CARR & DUFF INC,3401 CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,4319,101,215,2,B,B,173101,ELECTRIC CONTRACTORS,23821007,ELECTRICAL CONTR & OTHER WIRING INSTALLATION CONTR,,,,,,,,,,,27502,5,841,9,,,,,645304841,,,,,,,,,9,007600,1,039.947849,-075.193965,0,37980,2,428,42101,2015
COMPLETE CONTRACTORS,,PHILADELPHIA,PA,19104,,101,215,2,B,D,152103,GENERAL CONTRACTORS,23611505,NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS),,,,,,,,,,,21206,6,2747,9,,,,,645306457,,,,,,,,,9,009100,3,039.957124,-075.199550,X,37980,2,428,42101,2015
BLACK ROCK INC,2929 ARCH ST # 1600,PHILADELPHIA,PA,19104,2872,101,215,2,D,F,628203,FINANCIAL ADVISORY SERVICES,52393002,INVESTMENT ADVICE,628205,FINANCIAL PLANNING CONSULTANTS,,,,,,,,,,23,16491,2,,,,,645312919,,467395521,1200,,I,,,,9,012400,1,039.957048,-075.181466,0,37980,2,428,42101,2015
LEIDY'S FOOD MARKET,4178 LEIDY AVE,PHILADELPHIA,PA,19104,1039,101,215,2,A,B,541105,GROCERS-RETAIL,44511003,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,,,,,,,,,,,39106,3,763,9,,,,,645322017,,,,,,,,,9,011000,2,039.974800,-075.209940,P,37980,2,428,42101,2015
40TH CHURCH OF GOD,651 N 40TH ST,PHILADELPHIA,PA,19104,1849,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,2,,9,2,,,,645328675,,,,,,,,,9,010800,5,039.964700,-075.202360,P,37980,2,428,42101,2015
COSI,2955 MARKET ST # 14,PHILADELPHIA,PA,19104,2817,101,215,2,D,C,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,581206,FOODS-CARRY OUT,581219,SANDWICHES,,,,,,,,34,1590,2,¬,,,,645332404,,210269924,60,,E,,,,9,012400,1,039.955740,-075.181990,P,37980,2,428,42101,2015
AZTEC COMMUNICATIONS INC,4006 SPRUCE ST,PHILADELPHIA,PA,19104,4151,101,215,2,B,C,874815,TELECOMMUNICATIONS CONSULTANTS,54161817,OTHER MANAGEMENT CONSULTING SERVICES,,,,,,,,,,,84211,8,1332,9,,,,,645337338,,,,,,,,,9,008800,4,039.951540,-075.203480,P,37980,2,428,42101,2015
,3400 SPRUCE ST # 10,PHILADELPHIA,PA,19104,4238,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,62306,3,526,9,U,,,,645339599,,,,,,,811711134,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2015
ANKLE & FOOT MEDICAL CTR,3801 MARKET ST # 111,PHILADELPHIA,PA,19104,3153,101,215,1,A,A,804301,PODIATRISTS,62139103,OFFICES OF PODIATRISTS,,,,,,,,,,,62311,3,348,9,,,,,645342528,,,,,,,598842235,,9,009100,3,039.957160,-075.198540,P,37980,2,428,42101,2015
VASCULAR ACCESS CTR,2929 ARCH ST # 1705,PHILADELPHIA,PA,19104,2857,101,215,2,B,C,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),801104,CLINICS,809901,PHYSICIANS & SURGEONS INFORMATION BUREAU,596104,E-COMMERCE,,,,,62306,6,1052,9,2,,,,645346099,,,,,,,645346099,,9,012400,1,039.957048,-075.181466,0,37980,2,428,42101,2015
PHILA SUBURBAN DEV CORP,600 S UNIVERSITY AVE,PHILADELPHIA,PA,19104,4545,101,610,2,B,C,655202,REAL ESTATE DEVELOPERS,23721005,LAND SUBDIVISION,,,,,,,,,,,70702,5,2223,9,,,,,645350273,,,,,,,,,9,007600,1,039.944040,-075.197009,4,37980,2,428,42101,2015
PNC BANK,200 S 40TH ST,PHILADELPHIA,PA,19104,3512,101,215,2,C,,602101,BANKS,52211002,COMMERCIAL BANKING,596104,E-COMMERCE,,,,,,,,,06402,11,,2,Y,,,,645351800,307609545,005235973,6000,,J,,,,9,008800,5,039.953510,-075.203200,P,37980,2,428,42101,2015
MEMORIAL HALL RECREATION CTR,43RD & N CONCOURSE DR,PHILADELPHIA,PA,19104,,101,215,2,B,A,799701,RECREATION CENTERS,71394015,FITNESS & RECREATIONAL SPORTS CENTERS,,,,,,,,,,,71002,7,342,9,,,,,645352469,,,,,,,,,9,009100,3,039.957124,-075.199550,X,37980,2,428,42101,2015
HIGH SCHOOL OF THE FUTURE,4021 PARKSIDE AVE,PHILADELPHIA,PA,19104,1087,101,215,2,D,,821103,SCHOOLS,61111007,ELEMENTARY & SECONDARY SCHOOLS,,,,,,,,,,,74408,40,,9,N,,,,645352824,,,,,,,,,9,012300,1,039.974504,-075.204329,0,37980,2,428,42101,2015
ORCHID BLUE HAIR SALON,4405 CHESTNUT ST,PHILADELPHIA,PA,19104,2913,101,215,2,A,A,723106,BEAUTY SALONS,81211202,BEAUTY SALONS,,,,,,,,,,,07204,2,96,9,,,,,646943449,,,,,,,,,9,008700,6,039.956800,-075.209960,P,37980,2,428,42101,2015
,51 N 39TH ST,PHILADELPHIA,PA,19104,2640,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,8,,,,647476399,,,,,,,408584188,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2015
20TH & SAMSON GARAGE,3101 MARKET ST,PHILADELPHIA,PA,19104,2806,101,215,2,A,A,753801,AUTOMOBILE REPAIRING & SERVICE,81111104,GENERAL AUTOMOTIVE REPAIR,,,,,,,,,,,,3,382,9,,,,,649679792,,,,,,,,,9,012400,1,039.955540,-075.186080,P,37980,2,428,42101,2015
UPBEAT DELI,4256 MARKET ST,PHILADELPHIA,PA,19104,3007,101,215,2,A,A,581209,DELICATESSENS,72251302,LIMITED-SERVICE RESTAURANTS,581208,RESTAURANTS,,,,,,,,,23802,3,140,9,,,,,649806130,,,,,,,,,9,008700,1,039.957701,-075.207276,0,37980,2,428,42101,2015
CENTRAL AUTO SVC,3917 LANCASTER AVE # 27,PHILADELPHIA,PA,19104,4637,101,215,2,A,A,753801,AUTOMOBILE REPAIRING & SERVICE,81111104,GENERAL AUTOMOTIVE REPAIR,,,,,,,,,,,05202,2,254,9,,,,,649860947,,,,,,,,,9,010800,4,039.962320,-075.200350,P,37980,2,428,42101,2015
STARBUCKS,3421 CHESTNUT ST,PHILADELPHIA,PA,19104,3341,101,215,2,C,B,581228,COFFEE SHOPS,72251505,SNACK & NONALCOHOLIC BEVERAGE BARS,549915,COFFEE & TEA,581208,RESTAURANTS,,,,,,,,16,748,2,4,,,,650034200,,303651459,2000,,I,,,,9,008900,3,039.954475,-075.192042,0,37980,2,428,42101,2015
SPLITROCK,3020 MARKET ST,PHILADELPHIA,PA,19104,2999,101,215,2,A,,999977,NONCLASSIFIED ESTABLISHMENTS,99999004,UNCLASSIFIED ESTABLISHMENTS,,,,,,,,,,,,3,,9,,,,,650629801,,,,,,,,,9,008900,1,039.954580,-075.184800,P,37980,2,428,42101,2015
ELWYN INSTITUTE OF PHILA,644 N 43RD ST,PHILADELPHIA,PA,19104,1466,101,215,2,C,,822298,JUNIOR COLLEGES & TECHNICAL INSTITUTES,61121002,JUNIOR COLLEGES,821103,SCHOOLS,861102,ASSOCIATIONS,,,,,,,,15,,9,,,,,651183691,,,,,,,,,9,010600,5,039.963842,-075.209374,0,37980,2,428,42101,2015
J P RAINEY & CO INC,625 CONVENTION AVE,PHILADELPHIA,PA,19104,6801,101,215,2,A,,999977,NONCLASSIFIED ESTABLISHMENTS,99999004,UNCLASSIFIED ESTABLISHMENTS,,,,,,,,,,,,3,,9,,,,,651183980,,,,,,,,,9,007600,1,039.948722,-075.192454,0,37980,2,428,42101,2015
MAND MALBSTELLE GROUP,2929 ARCH ST # 600,PHILADELPHIA,PA,19104,2857,101,215,2,D,D,872102,ACCOUNTING & BOOKKEEPING GENERAL SVC,54121903,OTHER ACCOUNTING SERVICES,411903,LIMOUSINE SERVICE,,,,,,,,,,30,3184,9,,,,,651184178,,,,,,,,,9,012400,1,039.957048,-075.181466,0,37980,2,428,42101,2015
